2018-09-20 16:20:55,562 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:21:00,541 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49878]正在接收树莓派传输的数据
2018-09-20 16:21:00,549 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:21:00,550 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49879]正在接收树莓派传输的数据
2018-09-20 16:21:00,554 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:21:00,555 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49880]正在接收树莓派传输的数据
2018-09-20 16:21:00,559 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:21:00,649 [main] INFO  [com.briup.util.Impl.LogImpl] - 服务器端开启一个socket:Socket[addr=/127.0.0.1,port=49881,localport=9999]
2018-09-20 16:21:05,542 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49893]正在接收树莓派传输的数据
2018-09-20 16:21:05,548 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:21:05,549 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49894]正在接收树莓派传输的数据
2018-09-20 16:21:05,556 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:21:05,562 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=49895]正在接收树莓派传输的数据
2018-09-20 16:21:05,570 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - 树莓派数据写入文件成功
2018-09-20 16:22:54,508 [Timer-0] INFO  [com.briup.util.Impl.LogImpl] - Socket[addr=/127.0.0.1,port=8888,localport=50082]正在接收树莓派传输的数据
